label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,Serum-11221,Serum-11222,Serum-11223
,0,47,3,137.1043,9.2329,0.6941519,C13N15-label-6-1,isoleucine,isoleucine,C6H13NO2,0.6618462,1.446811,130.0871,551031.4,777986,746488.9
,0,48,2,131.0905,9.241128,0.552789,C13-label-1,isoleucine,isoleucine,C6H13NO2,0.6536179,1.513183,130.0871,353555.5,482175.4,650161.8
,0,49,1,132.0938,9.19085,0.7278902,C13-label-2,isoleucine,isoleucine,C6H13NO2,0.7038956,1.617204,130.0871,5388.787,0,12782.36
,0,50,0,134.1005,9.216712,0.1480573,C13-label-4,isoleucine,isoleucine,C6H13NO2,0.6780338,1.70679,130.0871,957.5435,933.5049,1268.868
,0,51,2,135.1041,9.200751,0.5306295,C13-label-5,isoleucine,isoleucine,C6H13NO2,0.6939945,0.4517638,130.0871,16083.2,22060.1,22508.82
,0,52,2,136.1073,9.216939,0.7263939,C13-label-6,isoleucine,isoleucine,C6H13NO2,0.6778069,1.569517,130.0871,821200,1070516,1196976
,0,53,2,131.0842,9.2249,0.5244166,N15-label-1,isoleucine,isoleucine,C6H13NO2,0.6698456,1.513256,130.0871,279722.2,384325.3,445067
,0,54,3,131.046,12.67853,0.804321,C12 PARENT,asparagine,asparagine,C4H8N2O3,0.7563858,1.630135,131.046,395733,561808.2,715186.2
,0,55,2,132.0494,12.66529,0.835544,C13-label-1,asparagine,asparagine,C4H8N2O3,0.7696304,1.155535,131.046,13067.62,13482.65,21591.57
,0,56,0,132.043,12.6541,0.3407438,N15-label-1,asparagine,asparagine,C4H8N2O3,0.7808199,1.848944,131.046,0,4274.808,7524.189
,0,57,3,131.0824,16.67795,0.6949171,C12 PARENT,ornithine,ornithine,C5H12N2O2,0.5556698,1.513277,131.0824,89034.18,151582.2,171568
,0,58,1,132.0857,16.70284,0.7321609,C13-label-1,ornithine,ornithine,C5H12N2O2,0.5307751,1.963868,131.0824,4973.951,6656.004,6781.07
,0,59,0,132.0795,16.7265,0.05651437,N15-label-1,ornithine,ornithine,C5H12N2O2,0.5071182,1.270799,131.0824,0,0,1304.2
,0,60,1,131.0824,15.97708,0.5269897,C12 PARENT,ornithine,ornithine,C5H12N2O2,1.256541,1.280465,131.0824,51734.36,108830.1,142257
,0,61,0,132.0858,15.96637,0.2168008,C13-label-1,ornithine,ornithine,C5H12N2O2,1.267247,1.501782,131.0824,1512.777,5300.227,6311.773
,0,62,0,132.0795,16.00971,0.08226143,N15-label-1,ornithine,ornithine,C5H12N2O2,1.223913,0.8086903,131.0824,670.9157,773.2156,1015.981
,0,63,2,132.0301,12.66561,0.6688905,C12 PARENT,aspartate,aspartate,C4H7NO4,0.6707582,1.271275,132.0301,220596.7,229644.6,414657.9
,0,64,0,133.0334,12.63947,0.3370179,C13-label-1,aspartate,aspartate,C4H7NO4,0.6969023,1.605783,132.0301,8785.013,5212.05,10173.24
,0,65,0,133.027,12.67853,0.1939651,N15-label-1,aspartate,aspartate,C4H7NO4,0.657836,1.720563,132.0301,4958.917,4068.556,3979.154
,0,66,3,133.0141,12.60082,0.8105009,C12 PARENT,malate,malate,C4H6O5,0.7661772,1.376585,133.0141,1514597,2839051,2756136
,0,67,3,134.0174,12.61372,0.8519545,C13-label-1,malate,malate,C4H6O5,0.7532835,1.480136,133.0141,55744,92341.85,87630.77
,0,68,0,135.0207,12.58758,0.06694897,C13-label-2,malate,malate,C4H6O5,0.7794218,1.695158,133.0141,1781.072,5572.984,5613.792
,0,69,0,137.0273,12.6489,0.2185525,C13-label-4,malate,malate,C4H6O5,0.7180986,2.561177,133.0141,12958.87,0,0
,0,70,3,145.0616,12.61372,0.8363854,C12 PARENT,glutamine,glutamine,C5H10N2O3,0.8111238,1.577822,145.0616,2.07E+07,2.37E+07,2.55E+07
,0,71,3,147.0619,12.62658,0.8502616,C13N15-label-1-1,glutamine,glutamine,C5H10N2O3,0.7982616,2.386419,145.0616,33504.67,32670.96,38910.57
,0,72,0,148.065,12.6489,0.1593045,C13N15-label-2-1,glutamine,glutamine,C5H10N2O3,0.775939,3.916061,145.0616,3721.702,0,0
,0,73,0,151.0698,12.62659,0.05430066,C13N15-label-4-2,glutamine,glutamine,C5H10N2O3,0.7982454,3.030156,145.0616,4177.708,2931.888,3171.822
,0,74,2,146.065,12.61372,0.8374236,C13-label-1,glutamine,glutamine,C5H10N2O3,0.8111238,1.671449,145.0616,1170524,1313258,1401295
,0,75,2,147.0683,12.61372,0.8495255,C13-label-2,glutamine,glutamine,C5H10N2O3,0.8111238,1.867552,145.0616,67220.06,81031.6,81820.43
